time_s,Vmem_mV,Goldman_Vmem_mV,NaK-ATPase_Rate_mol/m2s,cell_sodium_mmol/L,cell_potassium_mmol/L,cell_chloride_mmol/L,cell_calcium_mmol/L,cell_proteins_mmol/L,cell_anion_mmol/L,Dm_sodium_m2/s,Dm_potassium_m2/s,Dm_chloride_m2/s,Dm_calcium_m2/s,Dm_proteins_m2/s,Dm_anion_m2/s,I_A/m2,HydroP_Pa,OsmoP_Pa,Displacement_um
1.500050001666722288e+01,-6.540763045249488528e+01,-6.220416307269103839e+01,0.000000000000000000e+00,1.338912226789705961e+01,1.376374667231352760e+02,4.023677872196096850e+00,3.743949845260176979e-05,1.349999999999132001e+02,5.590703730109170877e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.692792708407506913e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000100003333444576e+01,-6.558591760260259207e+01,-6.209989514913851139e+01,0.000000000000000000e+00,1.401678173463462507e+01,1.370496115454894834e+02,4.043683642928808553e+00,3.755349548006161340e-05,1.350000000001124363e+02,5.579905144498262359e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,2.025939237142179231e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500150005000166686e+01,-6.570997593001951032e+01,-6.200508546378515717e+01,0.000000000000000000e+00,1.458588756737210446e+01,1.365176290886000174e+02,4.063478016914359614e+00,3.763268786000109026e-05,1.350000000003229843e+02,5.569082740395119302e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.917618081855532134e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000200006666889152e+01,-6.581462099740019767e+01,-6.191520893089206368e+01,0.000000000000000000e+00,1.510465323273109384e+01,1.360335181411938947e+02,4.083087283490107744e+00,3.769971717645095665e-05,1.350000000004935146e+02,5.558247545618041130e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.960820466264792074e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500250008333611618e+01,-2.992019400279129826e+01,7.243212251334145257e+00,0.000000000000000000e+00,1.395411622500767734e+01,1.372734484466891445e+02,4.129433739446335849e+00,1.824868367662209567e-05,1.350000000014927650e+02,5.557454540162295231e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,2.867367052716909954e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000300010000333373e+01,-1.935098131892860707e+01,8.429701050073088453e+00,0.000000000000000000e+00,1.298419759915312888e+01,1.383828637202888387e+02,4.212268414268530492e+00,1.368942656319175351e-05,1.350000000028659883e+02,5.568971758087612578e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,9.087917524368455726e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.050035001166705513e+02,-1.521226888850597447e+01,8.674871752286886561e+00,0.000000000000000000e+00,1.229991049937737202e+01,1.392275575405453765e+02,4.309533021982588252e+00,1.208441826395063667e-05,1.350000000042673491e+02,5.584945530453768292e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,3.028290340453058976e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200040001333377830e+02,-1.329817746390551214e+01,8.783303983499406442e+00,0.000000000000000000e+00,1.173847934318092356e+01,1.399595917930761289e+02,4.413250538840451931e+00,1.137933659009640718e-05,1.350000000055971157e+02,5.602875406596623087e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,7.914455322227993196e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.350045001500049864e+02,-1.538352985229742131e+01,-2.764323625512986826e+00,0.000000000000000000e+00,1.132332159310944419e+01,1.405476426461517576e+02,4.518462418353114352e+00,1.213410383025966655e-05,1.350000000067439601e+02,5.621270119557954636e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.086836730488041422e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500050001666722324e+02,-4.937212646238620550e+01,-5.161668841184544476e+01,0.000000000000000000e+00,1.219558657743047370e+01,1.397906377142646193e+02,4.591232115261726143e+00,2.795716667792846151e-05,1.350000000054720886e+02,5.629573397278715419e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-6.959615598999429415e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
